Oblast;Jahr;BIP_in_Mio_EUR
Blagoevgrad;2010;1193.36
Burgas;2010;2102.43
Dobrich;2010;716.83
Gabrovo;2010;569.58
Haskovo;2010;914.19
Kardzhali;2010;538.90
Kyustendil;2010;483.17
Lovech;2010;565.02
Montana;2010;493.40
Pazardzhik;2010;1011.08
Pernik;2010;574.69
Pleven;2010;989.35
Plovdiv;2010;3014.07
Razgrad;2010;484.70
Ruse;2010;1080.87
Shumen;2010;663.66
Silistra;2010;370.18
Sliven;2010;568.56
Smolyan;2010;467.32
Sofia (Oblast);2010;1198.98
Sofia-Stadt;2010;14261.98
Stara Zagora;2010;2153.05
Targovishte;2010;457.61
Varna;2010;2618.84
Veliko Tarnovo;2010;1015.94
Vidin;2010;305.75
Vratsa;2010;841.08
Yambol;2010;466.30
