Oblast;Jahr;Bevoelkerung
Blagoevgrad;2010;323552
Burgas;2010;415817
Dobrich;2010;189677
Gabrovo;2010;122702
Haskovo;2010;246238
Kardzhali;2010;152808
Kyustendil;2010;136686
Lovech;2010;141481
Montana;2010;148098
Pazardzhik;2010;275548
Pernik;2010;133530
Pleven;2010;269752
Plovdiv;2010;683027
Razgrad;2010;125190
Ruse;2010;235252
Shumen;2010;180528
Silistra;2010;119474
Sliven;2010;197473
Smolyan;2010;121709
Sofia (Oblast);2010;247489
Sofia-Stadt;2010;1291591
Stara Zagora;2010;333265
Targovishte;2010;120818
Varna;2010;475074
Veliko Tarnovo;2010;258494
Vidin;2010;101018
Vratsa;2010;186848
Yambol;2010;131447
