Deutschland,Landwirtschaft in tsd ha,Prozentualer Anteil landwirtschaftlich genutzter Fläche,Fläche in tsd. ha
Baden-Württemberg,"1408,1","39,4","3574,8"
Bayern,"3107,7","44,1","7054,2"
Berlin,"1,9","2,1","89,1"
Brandenburg,"1310,4","44,2","2965,4"
Bremen,"7,9","18,8","42,0"
Hamburg,"14,6","19,3","75,5"
Hessen,"764,7","36,2","2111,6"
Mecklenburg-Vorpommern,"1343,5","57,7","2329,4"
Niedersachsen,"2571,3","53,9","4771,0"
Nordrhein-Westfalen,"1473,2","43,2","3411,2"
Rheinland-Pfalz,"699,2","35,2","1985,8"
Saarland,"74,0","28,8","257,1"
Sachsen,"898,4","48,7","1845,0"
Sachsen-Anhalt,"1162,7","56,8","2045,9"
Schleswig-Holstein,"982,8","62,2","1580,4"
Thüringen,"774,8","47,8","1620,2"
insgesamt,"16595,0","46,4","35758,7"
