Bundesland,Einwohner in Tsd.,Bev.dichte na 1km^2
Baden-Württemberg,"11103,0",317
Bayern,"13140,2",190
Berlin,"3664,1",4244
Brandenburg,"2531,1",87
Bremen,"680,1",1648
Hamburg,"1852,5",2530
Hessen,"6293,2",304
Mecklenburg-Vorpommern,"1610,8",70
Niedersachsen,"8003,4",171
Nordrhein-Westfalen,"17925,6",533
Rheinland-Pfalz,"4098,4",210
Saarland,"984,0",387
Sachsen,"4056,9",222
Sachsen-Anhalt,"2180,7",106
Schleswig-Holstein,"2910,9",188
Thüringen,"2120,2",131
,,
Deutschland,"83155,0",237
