Bundesland,Flüsse,Flüsse in km
Baden-Württemberg,"Donau, Jagst, Kocher, Main, Neckar, Rhein",
Bayern,"Altmühl, Donau, Inn, Isar, Lech, Main, Regen",
Berlin,"Dahme, Havel, Panke, Spree",
Brandenburg,"Elbe, Havel, Neiße, Oder, Schwarze Elster, Spree",
Bremen,"Geeste, Lesum, Ochtum, Weser, Wümme",
Hamburg,"Alster, Bille, Elbe, Este",
Hessen,"Eder, Fulda, Lahn, Main, Rhein, Werra",
Mecklenburg-Vorpommern,"Elde, Peene, Recknitz, Tollense, Warnow",
Niedersachsen,"Aller, Elbe, Ems, Hunte, Leine, Oker, Weser",
Nordrhein-Westfalen,"Ems, Lippe, Rhein, Ruhr, Sieg, Weser, Wupper",
Rheinland-Pfalz,"Lahn, Mosel, Nahe, Rhein, Saar",
Saarland,"Blies, Nied, Prims, Saar",
Sachsen,"Elbe, Mulde, Neiße, Spree, Weiße Elster",
Sachsen-Anhalt,"Bode, Elbe, Havel, Mulde, Saale, Unstrut",
Schleswig-Holstein,"Eider, Elbe, Schwentine, Stör, Trave",
Thüringen,"Ilm, Saale, Unstrut, Weiße Elster, Werra",
,,
Deutschland,,
