Kantone,Landwirtschaft_tsd_ha,Anteil_Prozent,Flaeche_tsd_ha
Zürich,100.2,34.3,292.5
Bern,259.5,40.5,640.0
Luzern,102.1,47.3,215.8
Uri,19.0,13.8,138.1
Schwyz,45.8,29.5,155.5
Obwalden,17.0,26.8,63.5
Nidwalden,14.9,34.7,43.0
Glarus,17.3,21.6,80.0
Zug,18.4,42.1,43.7
Freiburg,124.5,45.5,273.5
Solothurn,51.2,39.4,129.8
Basel-Stadt,0.8,5.6,14.3
Basel-Landschaft,32.1,40.4,79.5
Schaffhausen,25.8,56.2,45.9
Appenzell Ausserrhoden,18.0,43.3,41.6
Appenzell Innerrhoden,10.5,42.9,24.5
St. Gallen,104.2,33.1,314.9
Graubünden,146.0,9.9,1474.0
Aargau,75.8,43.8,173.0
Thurgau,70.2,49.1,143.0
Tessin,35.5,12.2,291.2
Waadt,187.0,55.7,336.2
Wallis,87.5,17.8,493.0
Neuenburg,39.2,40.2,97.5
Genf,16.5,38.4,43.0
Jura,51.3,59.0,87.0
