Kanton,BIP_Mio_EUR,BIP_ProKopf_EUR
Zürich,109409.91,79683
Bern,59756.87,60989
Luzern,19319.85,51493
Uri,1366.19,38386
Schwyz,6858.64,47844
Obwalden,1880.69,53160
Nidwalden,2110.22,51852
Glarus,1997.89,52138
Zug,14048.61,124773
Freiburg,13055.10,47098
Solothurn,13346.94,52241
Basel-Stadt,24278.67,131075
Basel-Landschaft,15175.82,54409
Schaffhausen,5219.25,68182
Appenzell Ausserrhoden,2318.09,43723
Appenzell Innerrhoden,708.92,45189
St. Gallen,28230.41,58984
Graubünden,10565.10,54558
Aargau,31512.82,51386
Thurgau,11885.99,48460
Tessin,21799.55,64698
Waadt,39786.15,55048
Wallis,13649.10,42596
Neuenburg,10503.32,61444
Genf,38812.05,84564
Jura,3351.50,47729
Switzerland,438048.00,55981
