Kanton,Einwohner_Tsd,Bevoelkerungsdichte_km2,Flaeche_km2
Zürich,1373.1,794,1729
Bern,979.8,153,6390
Luzern,377.6,175,2165
Uri,35.4,26,1077
Schwyz,146.7,94,908
Obwalden,35.6,56,491
Nidwalden,41.0,95,276
Glarus,38.6,48,685
Zug,113.1,259,239
Freiburg,278.5,102,1671
Solothurn,255.3,197,791
Basel-Stadt,185.0,5012,37
Basel-Landschaft,274.4,346,518
Schaffhausen,76.4,166,298
Appenzell Ausserrhoden,53.0,127,243
Appenzell Innerrhoden,15.7,91,173
St. Gallen,478.9,152,2026
Graubünden,192.6,13,7105
Aargau,611.5,354,1404
Thurgau,248.4,174,991
Tessin,333.8,115,2812
Waadt,713.3,212,3212
Wallis,312.7,63,5224
Neuenburg,172.1,177,803
Genf,457.7,1622,282
Jura,70.0,80,838
