1,Oblast,x̄ Annual average air temperature in C,x̄ Total annual atmospheric precipitation in mm
2,Blagoevgrad,12.7,640
3,Burgas,12.9,621
4,Dobrich,11.2,530
5,Gaborovo,10.1,810
6,Haskovo,13.2,610
7,Kardzhali,12.5,830
8,Kyustendil,11.1,615
9,Lovech,11.4,705
10,Montana,11.6,631
11,Pazardzhik,12.1,590
12,Pernik,9.8,620
13,Pleven,12.0,585
14,Plovdiv,12.8,672
15,Razgrad,11.0,595
16,Ruse,12.2,624
17,Shumen,11.3,610
18,Silistra,11.9,560
19,Sliven,12.5,605
20,Smolyan,8.2,1020
21,Sofia-Stadt,10.4,664
22,Sofia (Oblast),9.5,740
23,Stara Zagora,12.7,615
24,Targovishte,11.2,580
25,Varna,12.3,493
26,Veliko Tarnovo,11.8,640
27,Vidin,11.5,590
28,Vratsa,11.4,625
29,Yambol,12.9,580
30,Durchschnitt Bulgarien,11.6,643
