Stadt,Niederschlag 2010 (mm),Niederschlag 2020 (mm)
London,461.8,615.4
Birmingham,657.4,868.2
Glasgow,942.0,1324.5
Leeds,595.6,834.0
Sheffield,722.4,984.6
Manchester,731.8,1015.0
Edinburgh,598.2,778.4
Liverpool,714.0,918.5
Bristol,689.4,892.4
Cardiff,981.2,1264.0
Belfast,810.5,1085.6
Leicester,520.4,728.6
Wakefield,595.6,834.0
Coventry,564.2,780.4
Nottingham,512.6,712.5
Newcastle upon Tyne,551.4,764.2
Sunderland,540.2,748.8
Bradford,781.0,1048.2
Derby,512.6,712.5
Kingston upon Hull,554.8,718.4
Brighton and Hove,610.2,852.4
Plymouth,910.4,1248.6
Stoke-on-Trent,710.2,935.4
Wolverhampton,657.4,868.2
Southampton,645.8,895.0
