Voivodeship,Population in thousands,per 1 km^2
Mazowieckie*,"5222,2",147
Śląskie,"4640,7",376
Wielkopolskie,"3408,3",114
Małopolskie,"3298,3",217
Dolnośląskie,"2876,6",144
Łódzkie,"2541,8",140
Pomorskie,"2230,1",122
Podkarpackie,"2101,7",118
Lubelskie,"2157,2",86
Kujawsko-pomorskie,"2069,1",115
Zachodniopomorskie,"1693,2",74
Warmińsko-mazurskie,"1427,1",59
Świętokrzyskie,"1270,1",108
Podlaskie,"1189,7",59
Lubuskie,1010,72
Opolskie,"1031,1",110
*warszawski stołeczny,,
*mazowiecki regionalny,,
,,
Poland,"38167,3",122
