Voivodeship,Agricultural land in thousand ha,Total land in thousand ha
Mazowieckie*,"1991,7","3555,8"
Śląskie,"362,3","1233,3"
Wielkopolskie,1760,"2982,7"
Małopolskie,"570,9","1518,3"
Dolnośląskie,912,"1994,7"
Łódzkie,"987,3","1821,9"
Pomorskie,"757,2","1832,4"
Podkarpackie,"579,1","1784,6"
Lubelskie,"1454,1","2512,3"
Kujawsko-pomorskie,"1033,3","1797,1"
Zachodniopomorskie,"856,1","2290,5"
Warmińsko-mazurskie,"945,4","2417,3"
Świętokrzyskie,467,"1171,1"
Podlaskie,"1094,5","2018,7"
Lubuskie,"401,4","1398,8"
Opolskie,"517,2","941,2"
,,
Poland,"14689,5","31270,5"
