Voivodeship,x̄ Annual average air temperature in C,x̄ Total annual atmospheric precipitation in mm
Mazowieckie*,"10,9",394
Śląskie,"10,5",758
Wielkopolskie,"10,9",374
Małopolskie,"10,4",811
Dolnośląskie,"9,4",679
Łódzkie,"10,3",388
Pomorskie,"9,9",647
Podkarpackie,"10,5",518
Lubelskie,10,533
Kujawsko-pomorskie,"10,5",472
Zachodniopomorskie,"10,8",608
Warmińsko-mazurskie,"9,6",672
Świętokrzyskie,"9,7",694
Podlaskie,"9,2",552
Lubuskie,11,533
Opolskie,"11,2",470
,,
Poland,"9,9","645,4"
