source_file,Year,Agricultural_Land_Percent,Region,Coastline_2010_km,Coastline_2020_km,GDP_2010_billion_pounds,GDP_per_head_2010,Rank,River,Length_km,Navigable,City,Population_2010,Population_2020,Highest_Mountain,Height_m,Mountain_Range,Avg_Temp_C_2010,Rainfall,Climate_Type,Avg_Temp_C_2020,Rainfall_mm,Sunshine_hours,Climate_Record,Special_Features,Resource,Economic_Importance,GDP_2020_million_pounds,GDP_per_head_2020,Real_GDP_growth_percent
agriculture.csv,2010,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agriculture.csv,2020,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastline.csv,,,England,4422,4422,,,,,,,,,,,,,,,,,,,,,,,,,
coastline.csv,,,Scotland,9910,9910,,,,,,,,,,,,,,,,,,,,,,,,,
coastline.csv,,,Wales,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,
coastline.csv,,,Northern Ireland,539,539,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,UK total,,,1497.8,24010,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,England,,,1284.1,24968,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,North East,,,45.2,17445,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,North West,,,141.9,20239,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,Yorkshire and The Humber,,,92.8,17418,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,East Midlands,,,81.4,18049,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,West Midlands,,,99.3,17741,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,East of England,,,121.0,21043,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,London,,,290.3,36248,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,South East,,,210.7,25043,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,South West,,,98.2,18479,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,Wales,,,48.9,16085,,,,,,,,,,,,,,,,,,,,,,,
gdp_2010.csv,,,Scotland,,,105.0,20247,,,,,,,,,,,,,,,,,,,,,,,
